# Tatoeba English short-word priors; generated by generate_short_word_ngrams.py
# previous<TAB>next<TAB>weight or prior<TAB>previous<TAB>next<TAB>weight
in	its	11
in	law	11
in	my	13
in	one	11
in	our	12
in	the	15
in	two	11
incapable	of	13
inclined	to	12
included	in	11
india	is	11
indifferent	to	12
inside	the	13
insist	on	11
insisted	on	12
inspected	the	12
instead	of	14
intend	to	14
intended	to	13
intends	to	13
intention	of	12
interest	in	12
interested	in	15
into	his	12
into	my	11
into	the	14
invest	in	11
investigate	the	11
investigating	the	11
involved	in	13
is	all	11
is	an	13
is	as	11
is	at	11
is	bad	11
is	for	11
is	he	12
is	his	11
is	in	12
is	it	13
is	my	13
is	no	12
is	not	13
is	now	11
is	on	12
is	one	12
is	our	11
is	out	11
is	she	11
is	so	12
is	the	14
is	to	12
is	too	12
islam	is	12
isn't	as	11
isn't	he	13
isn't	it	12
isn't	she	13
isn't	the	11
it	all	12
it	at	11
it	be	11
it	by	11
it	can	11
it	for	12
it	has	12
it	if	11
it	in	12
it	is	14
it	may	11
it	now	11
it	on	11
it	out	12
it	to	12
it	up	11
it	was	14
it'd	be	13
it'll	be	13
it's	all	11
it's	an	11
it's	my	11
it's	not	13
it's	the	12
it's	too	12
its	own	11
jail	for	11
japan	is	12
jealous	of	12
job	is	11
joined	the	12
just	as	11
just	got	11
kabylie	is	12
karl	was	12
keen	on	11
keep	it	11
keep	the	12
key	to	12
kilo	of	12
kind	of	15
kinds	of	14
knees	and	11
knew	you	11
knock	on	11
knocking	on	11
know	her	11
know	how	13
know	if	12
know	it	11
know	the	12
know	who	12
know	why	12
know	you	12
knows	how	12
lack	of	13
lacking	in	11
landed	on	11
language	is	12
late	for	12
late	to	11
laugh	at	12
laughed	at	12
laughing	at	11
layer	of	12
layla	is	11
layla	was	13
lead	to	12
leader	of	11
leads	to	13
learn	how	12
learn	to	12
leave	me	11
leave	the	12
left	his	11
left	in	11
left	the	13
left	to	11
lend	me	12
length	of	11
lent	me	11
let	her	11
let	him	12
let	me	14
let	the	12
let	us	12
let	you	12
let's	get	12
let's	go	12
let's	not	12
let's	see	11
level	of	11
lie	to	12
lied	to	13
life	in	11
life	is	13
like	an	11
like	he	11
like	her	12
like	him	11
like	his	11
like	it	12
like	me	12
like	my	11
like	the	12
like	to	14
like	you	12
likely	to	13
likes	to	12
lined	up	11
list	of	12
listen	to	14
listened	to	13
listening	to	14
listens	to	13
liters	of	12
little	bit	12
live	in	13
live	on	11
lived	in	13
lives	in	13
living	in	12
loaf	of	12
lock	the	12
long	as	12
longing	for	11
look	at	13
look	for	11
looked	at	12
looking	at	12
looking	for	14
loss	of	11
lost	her	11
lost	his	12
lost	my	11
lost	the	11
lot	of	15
lot	to	11
lots	of	14
love	is	11
love	me	11
love	the	11
love	to	12
love	you	11
mad	at	12
made	her	11
made	him	11
made	it	12
made	me	12
made	of	12
made	the	12
made	up	11
majored	in	13
majority	of	12
make	any	11
make	it	12
make	me	12
make	the	12
make	up	11
make	you	12
makes	me	12
makes	you	12
man	is	12
man	of	11
man	was	11
man	who	11
manage	to	12
managed	to	14
many	of	11
mars	is	11
matter	how	11
matter	of	11
may	be	12
may	not	12
maybe	we	12
maybe	you	12
me	and	11
me	at	11
me	do	11
me	for	12
me	he	12
me	how	12
me	if	11
me	in	12
me	of	11
me	on	11
me	out	11
me	she	12
me	the	12
me	to	13
me	up	11
me	why	11
me	you	11
mean	to	12
meaning	of	13
meant	to	12
meet	him	11
meet	you	12
member	of	13
members	of	12
memories	of	11
men	are	12
mennad	has	11
mennad	is	12
mennad	was	12
messed	up	13
met	him	11
middle	of	14
midst	of	12
might	be	13
might	not	11
millions	of	13
mindful	of	13
missed	the	12
mixture	of	12
money	for	11
money	in	11
money	on	11
money	to	12
more	and	11
more	to	11
most	of	12
mother	is	12
mow	the	12
much	as	11
much	do	11
much	for	11
much	is	11
much	of	11
much	to	11
must	be	13
must	not	11
my	car	12
my	cat	11
my	dad	11
my	dog	11
my	job	11
my	mom	11
my	new	11
my	own	12
my	son	12
my	way	11
name	of	12
near	the	13
necessary	to	12
need	for	11
need	to	15
need	you	11
needed	to	13
needs	to	15
nerve	to	11
never	be	11
never	do	11
never	had	11
new	car	11
next	to	12
nice	to	12
no	one	14
no	way	11
none	of	14
not	all	11
not	an	11
not	as	11
not	at	11
not	be	12
not	do	11
not	for	11
not	go	11
not	in	12
not	my	11
not	so	11
not	the	12
not	to	13
not	too	11
not	yet	11
nothing	but	12
nothing	is	11
nothing	to	12
nowhere	to	12
number	of	13
obey	the	11
objected	to	12
obligated	to	13
obligation	to	12
obliged	to	13
occurred	to	12
of	all	12
of	an	12
of	fun	11
of	her	12
of	him	12
of	his	13
of	it	12
of	its	11
of	me	12
of	my	13
of	our	12
of	tea	11
of	the	15
of	us	12
of	you	12
off	at	11
off	his	12
off	my	11
off	the	13
often	do	12
old	man	12
olive	oil	12
on	an	11
on	her	12
on	him	11
on	his	13
on	it	11
on	its	11
on	me	12
on	my	13
on	our	11
on	the	15
on	to	11
on	you	11
one	can	11
one	day	11
one	has	11
one	in	11
one	is	12
one	of	13
one	to	11
one	was	11
one	who	13
only	one	13
onto	the	13
open	the	13
opened	the	13
opportunity	to	12
opposed	to	12
or	not	12
or	the	11
order	to	13
origin	of	11
ought	to	14
our	own	11
out	and	11
out	for	12
out	his	11
out	in	12
out	of	15
out	on	11
out	the	12
out	to	12
outside	the	12
over	and	11
over	his	11
over	the	13
over	to	11
owing	to	12
owner	of	12
paid	for	11
pair	of	14
pairs	of	13
pardon	me	11
parents	are	12
parking	lot	13
part	in	11
part	of	14
participate	in	13
participated	in	13
participating	in	12
parts	of	12
pass	the	12
passed	the	12
passion	for	11
pay	for	12
pay	the	11
peel	the	11
people	are	12
people	do	11
people	in	11
people	to	11
people	who	12
percent	of	12
percentage	of	12
period	of	11
permission	to	13
permitted	to	12
person	who	12
persuade	him	11
pick	up	12
picked	up	12
picture	of	12
piece	of	14
pieces	of	12
pile	of	13
pissed	off	12
place	is	11
